,LCLid,stdorToU,DateTime,Acorn,Acorn_grouped,KWh
50,MAC000018,Std,1970-01-02 07:00:00,ACORN-E,Affluent,0.40700000000000003
51,MAC000018,Std,1970-01-02 07:30:00,ACORN-E,Affluent,0.501
52,MAC000018,Std,1970-01-02 08:00:00,ACORN-E,Affluent,0.48200000000000004
53,MAC000018,Std,1970-01-02 08:30:00,ACORN-E,Affluent,0.473
54,MAC000018,Std,1970-01-02 09:00:00,ACORN-E,Affluent,0.46
55,MAC000018,Std,1970-01-02 09:30:00,ACORN-E,Affluent,0.52
56,MAC000018,Std,1970-01-02 10:00:00,ACORN-E,Affluent,1.071
57,MAC000018,Std,1970-01-02 10:30:00,ACORN-E,Affluent,0.743
58,MAC000018,Std,1970-01-02 11:00:00,ACORN-E,Affluent,0.425
59,MAC000018,Std,1970-01-02 11:30:00,ACORN-E,Affluent,0.433
60,MAC000018,Std,1970-01-02 12:00:00,ACORN-E,Affluent,0.47700000000000004
61,MAC000018,Std,1970-01-02 12:30:00,ACORN-E,Affluent,0.466
62,MAC000018,Std,1970-01-02 13:00:00,ACORN-E,Affluent,0.563
63,MAC000018,Std,1970-01-02 13:30:00,ACORN-E,Affluent,0.451
64,MAC000018,Std,1970-01-02 14:00:00,ACORN-E,Affluent,0.46
65,MAC000018,Std,1970-01-02 14:30:00,ACORN-E,Affluent,0.479
66,MAC000018,Std,1970-01-02 15:00:00,ACORN-E,Affluent,0.9059999999999999
67,MAC000018,Std,1970-01-02 15:30:00,ACORN-E,Affluent,0.9520000000000001
68,MAC000018,Std,1970-01-02 16:00:00,ACORN-E,Affluent,0.6829999999999999
69,MAC000018,Std,1970-01-02 16:30:00,ACORN-E,Affluent,0.527
70,MAC000018,Std,1970-01-02 17:00:00,ACORN-E,Affluent,0.524
71,MAC000018,Std,1970-01-02 17:30:00,ACORN-E,Affluent,0.618
72,MAC000018,Std,1970-01-02 18:00:00,ACORN-E,Affluent,0.48200000000000004
73,MAC000018,Std,1970-01-02 18:30:00,ACORN-E,Affluent,0.452
74,MAC000018,Std,1970-01-02 19:00:00,ACORN-E,Affluent,0.37200000000000005
75,MAC000018,Std,1970-01-02 19:30:00,ACORN-E,Affluent,0.36
76,MAC000018,Std,1970-01-02 20:00:00,ACORN-E,Affluent,0.368
77,MAC000018,Std,1970-01-02 20:30:00,ACORN-E,Affluent,0.33799999999999997
78,MAC000018,Std,1970-01-02 21:00:00,ACORN-E,Affluent,0.121
79,MAC000018,Std,1970-01-02 21:30:00,ACORN-E,Affluent,0.126
80,MAC000018,Std,1970-01-02 22:00:00,ACORN-E,Affluent,0.12
81,MAC000018,Std,1970-01-02 22:30:00,ACORN-E,Affluent,0.12
82,MAC000018,Std,1970-01-02 23:00:00,ACORN-E,Affluent,0.121
83,MAC000018,Std,1970-01-02 23:30:00,ACORN-E,Affluent,0.121
84,MAC000018,Std,1970-01-03 00:00:00,ACORN-E,Affluent,0.12300000000000001
85,MAC000018,Std,1970-01-03 00:30:00,ACORN-E,Affluent,0.12300000000000001
86,MAC000018,Std,1970-01-03 01:00:00,ACORN-E,Affluent,0.122
87,MAC000018,Std,1970-01-03 01:30:00,ACORN-E,Affluent,0.121
88,MAC000018,Std,1970-01-03 02:00:00,ACORN-E,Affluent,0.121
89,MAC000018,Std,1970-01-03 02:30:00,ACORN-E,Affluent,0.12
90,MAC000018,Std,1970-01-03 03:00:00,ACORN-E,Affluent,0.11900000000000001
91,MAC000018,Std,1970-01-03 03:30:00,ACORN-E,Affluent,0.15
92,MAC000018,Std,1970-01-03 04:00:00,ACORN-E,Affluent,0.156
93,MAC000018,Std,1970-01-03 04:30:00,ACORN-E,Affluent,0.24100000000000002
94,MAC000018,Std,1970-01-03 05:00:00,ACORN-E,Affluent,0.245
95,MAC000018,Std,1970-01-03 05:30:00,ACORN-E,Affluent,0.24600000000000002
96,MAC000018,Std,1970-01-03 06:00:00,ACORN-E,Affluent,0.27
97,MAC000018,Std,1970-01-03 06:30:00,ACORN-E,Affluent,0.469
98,MAC000018,Std,1970-01-03 07:00:00,ACORN-E,Affluent,0.894
99,MAC000018,Std,1970-01-03 07:30:00,ACORN-E,Affluent,1.08
100,MAC000018,Std,1970-01-03 08:00:00,ACORN-E,Affluent,0.774
101,MAC000018,Std,1970-01-03 08:30:00,ACORN-E,Affluent,0.37799999999999995
102,MAC000018,Std,1970-01-03 09:00:00,ACORN-E,Affluent,0.32299999999999995
103,MAC000018,Std,1970-01-03 09:30:00,ACORN-E,Affluent,0.52
104,MAC000018,Std,1970-01-03 10:00:00,ACORN-E,Affluent,0.312
105,MAC000018,Std,1970-01-03 10:30:00,ACORN-E,Affluent,1.026
106,MAC000018,Std,1970-01-03 11:00:00,ACORN-E,Affluent,0.344
107,MAC000018,Std,1970-01-03 11:30:00,ACORN-E,Affluent,0.242
108,MAC000018,Std,1970-01-03 12:00:00,ACORN-E,Affluent,0.21
109,MAC000018,Std,1970-01-03 12:30:00,ACORN-E,Affluent,0.19899999999999998
110,MAC000018,Std,1970-01-03 13:00:00,ACORN-E,Affluent,0.264
111,MAC000018,Std,1970-01-03 13:30:00,ACORN-E,Affluent,0.27399999999999997
112,MAC000018,Std,1970-01-03 14:00:00,ACORN-E,Affluent,0.611
113,MAC000018,Std,1970-01-03 14:30:00,ACORN-E,Affluent,0.758
114,MAC000018,Std,1970-01-03 15:00:00,ACORN-E,Affluent,0.496
115,MAC000018,Std,1970-01-03 15:30:00,ACORN-E,Affluent,0.547
116,MAC000018,Std,1970-01-03 16:00:00,ACORN-E,Affluent,0.39299999999999996
117,MAC000018,Std,1970-01-03 16:30:00,ACORN-E,Affluent,0.664
118,MAC000018,Std,1970-01-03 17:00:00,ACORN-E,Affluent,0.381
119,MAC000018,Std,1970-01-03 17:30:00,ACORN-E,Affluent,0.287
120,MAC000018,Std,1970-01-03 18:00:00,ACORN-E,Affluent,0.263
121,MAC000018,Std,1970-01-03 18:30:00,ACORN-E,Affluent,0.26
122,MAC000018,Std,1970-01-03 19:00:00,ACORN-E,Affluent,0.253
123,MAC000018,Std,1970-01-03 19:30:00,ACORN-E,Affluent,0.257
124,MAC000018,Std,1970-01-03 20:00:00,ACORN-E,Affluent,0.20800000000000002
125,MAC000018,Std,1970-01-03 20:30:00,ACORN-E,Affluent,0.126
126,MAC000018,Std,1970-01-03 21:00:00,ACORN-E,Affluent,0.127
127,MAC000018,Std,1970-01-03 21:30:00,ACORN-E,Affluent,0.235
128,MAC000018,Std,1970-01-03 22:00:00,ACORN-E,Affluent,0.166
129,MAC000018,Std,1970-01-03 22:30:00,ACORN-E,Affluent,0.132
130,MAC000018,Std,1970-01-03 23:00:00,ACORN-E,Affluent,0.13
131,MAC000018,Std,1970-01-03 23:30:00,ACORN-E,Affluent,0.129
132,MAC000018,Std,1970-01-04 00:00:00,ACORN-E,Affluent,0.126
133,MAC000018,Std,1970-01-04 00:30:00,ACORN-E,Affluent,0.126
134,MAC000018,Std,1970-01-04 01:00:00,ACORN-E,Affluent,0.126
135,MAC000018,Std,1970-01-04 01:30:00,ACORN-E,Affluent,0.125
136,MAC000018,Std,1970-01-04 02:00:00,ACORN-E,Affluent,0.126
137,MAC000018,Std,1970-01-04 02:30:00,ACORN-E,Affluent,0.124
138,MAC000018,Std,1970-01-04 03:00:00,ACORN-E,Affluent,0.124
139,MAC000018,Std,1970-01-04 03:30:00,ACORN-E,Affluent,0.155
140,MAC000018,Std,1970-01-04 04:00:00,ACORN-E,Affluent,0.147
141,MAC000018,Std,1970-01-04 04:30:00,ACORN-E,Affluent,0.23199999999999998
142,MAC000018,Std,1970-01-04 05:00:00,ACORN-E,Affluent,0.252
143,MAC000018,Std,1970-01-04 05:30:00,ACORN-E,Affluent,0.251
144,MAC000018,Std,1970-01-04 06:00:00,ACORN-E,Affluent,0.253
145,MAC000018,Std,1970-01-04 06:30:00,ACORN-E,Affluent,0.366
146,MAC000018,Std,1970-01-04 07:00:00,ACORN-E,Affluent,0.21
147,MAC000018,Std,1970-01-04 07:30:00,ACORN-E,Affluent,0.19699999999999998
148,MAC000018,Std,1970-01-04 08:00:00,ACORN-E,Affluent,0.5589999999999999
149,MAC000018,Std,1970-01-04 08:30:00,ACORN-E,Affluent,0.23600000000000002
150,MAC000018,Std,1970-01-04 09:00:00,ACORN-E,Affluent,0.522
151,MAC000018,Std,1970-01-04 09:30:00,ACORN-E,Affluent,1.5390000000000001
152,MAC000018,Std,1970-01-04 10:00:00,ACORN-E,Affluent,1.331
153,MAC000018,Std,1970-01-04 10:30:00,ACORN-E,Affluent,0.5760000000000001
154,MAC000018,Std,1970-01-04 11:00:00,ACORN-E,Affluent,0.228
155,MAC000018,Std,1970-01-04 11:30:00,ACORN-E,Affluent,0.24100000000000002
156,MAC000018,Std,1970-01-04 12:00:00,ACORN-E,Affluent,0.568
157,MAC000018,Std,1970-01-04 12:30:00,ACORN-E,Affluent,0.672
158,MAC000018,Std,1970-01-04 13:00:00,ACORN-E,Affluent,0.7390000000000001
159,MAC000018,Std,1970-01-04 13:30:00,ACORN-E,Affluent,0.6
160,MAC000018,Std,1970-01-04 14:00:00,ACORN-E,Affluent,0.358
161,MAC000018,Std,1970-01-04 14:30:00,ACORN-E,Affluent,0.44
162,MAC000018,Std,1970-01-04 15:00:00,ACORN-E,Affluent,0.491
163,MAC000018,Std,1970-01-04 15:30:00,ACORN-E,Affluent,0.5589999999999999
164,MAC000018,Std,1970-01-04 16:00:00,ACORN-E,Affluent,0.485
165,MAC000018,Std,1970-01-04 16:30:00,ACORN-E,Affluent,0.49200000000000005
166,MAC000018,Std,1970-01-04 17:00:00,ACORN-E,Affluent,0.65
167,MAC000018,Std,1970-01-04 17:30:00,ACORN-E,Affluent,0.466
168,MAC000018,Std,1970-01-04 18:00:00,ACORN-E,Affluent,0.295
169,MAC000018,Std,1970-01-04 18:30:00,ACORN-E,Affluent,0.353
170,MAC000018,Std,1970-01-04 19:00:00,ACORN-E,Affluent,0.444
171,MAC000018,Std,1970-01-04 19:30:00,ACORN-E,Affluent,0.44
172,MAC000018,Std,1970-01-04 20:00:00,ACORN-E,Affluent,0.397
173,MAC000018,Std,1970-01-04 20:30:00,ACORN-E,Affluent,0.33
174,MAC000018,Std,1970-01-04 21:00:00,ACORN-E,Affluent,0.344
175,MAC000018,Std,1970-01-04 21:30:00,ACORN-E,Affluent,0.345
176,MAC000018,Std,1970-01-04 22:00:00,ACORN-E,Affluent,0.366
177,MAC000018,Std,1970-01-04 22:30:00,ACORN-E,Affluent,0.237
178,MAC000018,Std,1970-01-04 23:00:00,ACORN-E,Affluent,0.341
179,MAC000018,Std,1970-01-04 23:30:00,ACORN-E,Affluent,0.157
180,MAC000018,Std,1970-01-05 00:00:00,ACORN-E,Affluent,0.133
181,MAC000018,Std,1970-01-05 00:30:00,ACORN-E,Affluent,0.132
182,MAC000018,Std,1970-01-05 01:00:00,ACORN-E,Affluent,0.12
183,MAC000018,Std,1970-01-05 01:30:00,ACORN-E,Affluent,0.12
184,MAC000018,Std,1970-01-05 02:00:00,ACORN-E,Affluent,0.12
185,MAC000018,Std,1970-01-05 02:30:00,ACORN-E,Affluent,0.121
186,MAC000018,Std,1970-01-05 03:00:00,ACORN-E,Affluent,0.121
187,MAC000018,Std,1970-01-05 03:30:00,ACORN-E,Affluent,0.153
188,MAC000018,Std,1970-01-05 04:00:00,ACORN-E,Affluent,0.17
189,MAC000018,Std,1970-01-05 04:30:00,ACORN-E,Affluent,0.235
190,MAC000018,Std,1970-01-05 05:00:00,ACORN-E,Affluent,0.228
191,MAC000018,Std,1970-01-05 05:30:00,ACORN-E,Affluent,0.225
192,MAC000018,Std,1970-01-05 06:00:00,ACORN-E,Affluent,0.225
193,MAC000018,Std,1970-01-05 06:30:00,ACORN-E,Affluent,0.28600000000000003
194,MAC000018,Std,1970-01-05 07:00:00,ACORN-E,Affluent,0.18
195,MAC000018,Std,1970-01-05 07:30:00,ACORN-E,Affluent,0.165
196,MAC000018,Std,1970-01-05 08:00:00,ACORN-E,Affluent,0.16399999999999998
197,MAC000018,Std,1970-01-05 08:30:00,ACORN-E,Affluent,0.16399999999999998
198,MAC000018,Std,1970-01-05 09:00:00,ACORN-E,Affluent,0.247
199,MAC000018,Std,1970-01-05 09:30:00,ACORN-E,Affluent,0.9590000000000001
200,MAC000018,Std,1970-01-05 10:00:00,ACORN-E,Affluent,0.218
201,MAC000018,Std,1970-01-05 10:30:00,ACORN-E,Affluent,0.395
202,MAC000018,Std,1970-01-05 11:00:00,ACORN-E,Affluent,0.29100000000000004
203,MAC000018,Std,1970-01-05 11:30:00,ACORN-E,Affluent,0.19699999999999998
204,MAC000018,Std,1970-01-05 12:00:00,ACORN-E,Affluent,0.502
205,MAC000018,Std,1970-01-05 12:30:00,ACORN-E,Affluent,0.534
206,MAC000018,Std,1970-01-05 13:00:00,ACORN-E,Affluent,0.523
207,MAC000018,Std,1970-01-05 13:30:00,ACORN-E,Affluent,0.556
208,MAC000018,Std,1970-01-05 14:00:00,ACORN-E,Affluent,0.611
209,MAC000018,Std,1970-01-05 14:30:00,ACORN-E,Affluent,1.35
210,MAC000018,Std,1970-01-05 15:00:00,ACORN-E,Affluent,0.517
211,MAC000018,Std,1970-01-05 15:30:00,ACORN-E,Affluent,1.081
212,MAC000018,Std,1970-01-05 16:00:00,ACORN-E,Affluent,0.94
213,MAC000018,Std,1970-01-05 16:30:00,ACORN-E,Affluent,0.614
214,MAC000018,Std,1970-01-05 17:00:00,ACORN-E,Affluent,0.563
215,MAC000018,Std,1970-01-05 17:30:00,ACORN-E,Affluent,0.541
216,MAC000018,Std,1970-01-05 18:00:00,ACORN-E,Affluent,0.595
217,MAC000018,Std,1970-01-05 18:30:00,ACORN-E,Affluent,0.594
218,MAC000018,Std,1970-01-05 19:00:00,ACORN-E,Affluent,0.53
219,MAC000018,Std,1970-01-05 19:30:00,ACORN-E,Affluent,0.545
220,MAC000018,Std,1970-01-05 20:00:00,ACORN-E,Affluent,0.589
221,MAC000018,Std,1970-01-05 20:30:00,ACORN-E,Affluent,0.43
222,MAC000018,Std,1970-01-05 21:00:00,ACORN-E,Affluent,0.43
223,MAC000018,Std,1970-01-05 21:30:00,ACORN-E,Affluent,0.495
224,MAC000018,Std,1970-01-05 22:00:00,ACORN-E,Affluent,0.43
225,MAC000018,Std,1970-01-05 22:30:00,ACORN-E,Affluent,0.445
226,MAC000018,Std,1970-01-05 23:00:00,ACORN-E,Affluent,0.433
227,MAC000018,Std,1970-01-05 23:30:00,ACORN-E,Affluent,0.475
228,MAC000018,Std,1970-01-06 00:00:00,ACORN-E,Affluent,0.431
229,MAC000018,Std,1970-01-06 00:30:00,ACORN-E,Affluent,0.433
230,MAC000018,Std,1970-01-06 01:00:00,ACORN-E,Affluent,0.324
231,MAC000018,Std,1970-01-06 01:30:00,ACORN-E,Affluent,0.122
232,MAC000018,Std,1970-01-06 02:00:00,ACORN-E,Affluent,0.122
233,MAC000018,Std,1970-01-06 02:30:00,ACORN-E,Affluent,0.12
234,MAC000018,Std,1970-01-06 03:00:00,ACORN-E,Affluent,0.12
235,MAC000018,Std,1970-01-06 03:30:00,ACORN-E,Affluent,0.151
236,MAC000018,Std,1970-01-06 04:00:00,ACORN-E,Affluent,0.136
237,MAC000018,Std,1970-01-06 04:30:00,ACORN-E,Affluent,0.214
238,MAC000018,Std,1970-01-06 05:00:00,ACORN-E,Affluent,0.22399999999999998
239,MAC000018,Std,1970-01-06 05:30:00,ACORN-E,Affluent,0.22699999999999998
240,MAC000018,Std,1970-01-06 06:00:00,ACORN-E,Affluent,0.20800000000000002
241,MAC000018,Std,1970-01-06 06:30:00,ACORN-E,Affluent,0.166
242,MAC000018,Std,1970-01-06 07:00:00,ACORN-E,Affluent,0.264
243,MAC000018,Std,1970-01-06 07:30:00,ACORN-E,Affluent,0.154
244,MAC000018,Std,1970-01-06 08:00:00,ACORN-E,Affluent,0.149
245,MAC000018,Std,1970-01-06 08:30:00,ACORN-E,Affluent,0.195
246,MAC000018,Std,1970-01-06 09:00:00,ACORN-E,Affluent,0.282
247,MAC000018,Std,1970-01-06 09:30:00,ACORN-E,Affluent,0.27699999999999997
248,MAC000018,Std,1970-01-06 10:00:00,ACORN-E,Affluent,0.25
249,MAC000018,Std,1970-01-06 10:30:00,ACORN-E,Affluent,0.237
250,MAC000018,Std,1970-01-06 11:00:00,ACORN-E,Affluent,0.222
251,MAC000018,Std,1970-01-06 11:30:00,ACORN-E,Affluent,0.18100000000000002
252,MAC000018,Std,1970-01-06 12:00:00,ACORN-E,Affluent,0.174
253,MAC000018,Std,1970-01-06 12:30:00,ACORN-E,Affluent,0.376
254,MAC000018,Std,1970-01-06 13:00:00,ACORN-E,Affluent,0.37
255,MAC000018,Std,1970-01-06 13:30:00,ACORN-E,Affluent,0.40299999999999997
256,MAC000018,Std,1970-01-06 14:00:00,ACORN-E,Affluent,0.252
257,MAC000018,Std,1970-01-06 14:30:00,ACORN-E,Affluent,0.177
258,MAC000018,Std,1970-01-06 15:00:00,ACORN-E,Affluent,0.489
259,MAC000018,Std,1970-01-06 15:30:00,ACORN-E,Affluent,0.27699999999999997
260,MAC000018,Std,1970-01-06 16:00:00,ACORN-E,Affluent,0.345
261,MAC000018,Std,1970-01-06 16:30:00,ACORN-E,Affluent,0.591
262,MAC000018,Std,1970-01-06 17:00:00,ACORN-E,Affluent,0.514
263,MAC000018,Std,1970-01-06 17:30:00,ACORN-E,Affluent,0.461
264,MAC000018,Std,1970-01-06 18:00:00,ACORN-E,Affluent,0.46299999999999997
265,MAC000018,Std,1970-01-06 18:30:00,ACORN-E,Affluent,0.342
266,MAC000018,Std,1970-01-06 19:00:00,ACORN-E,Affluent,0.308
267,MAC000018,Std,1970-01-06 19:30:00,ACORN-E,Affluent,0.397
268,MAC000018,Std,1970-01-06 20:00:00,ACORN-E,Affluent,0.40299999999999997
269,MAC000018,Std,1970-01-06 20:30:00,ACORN-E,Affluent,0.418
270,MAC000018,Std,1970-01-06 21:00:00,ACORN-E,Affluent,0.42700000000000005
271,MAC000018,Std,1970-01-06 21:30:00,ACORN-E,Affluent,0.42700000000000005
272,MAC000018,Std,1970-01-06 22:00:00,ACORN-E,Affluent,0.42200000000000004
273,MAC000018,Std,1970-01-06 22:30:00,ACORN-E,Affluent,0.359
274,MAC000018,Std,1970-01-06 23:00:00,ACORN-E,Affluent,0.21100000000000002
275,MAC000018,Std,1970-01-06 23:30:00,ACORN-E,Affluent,0.19399999999999998
276,MAC000018,Std,1970-01-07 00:00:00,ACORN-E,Affluent,0.121
277,MAC000018,Std,1970-01-07 00:30:00,ACORN-E,Affluent,0.11900000000000001
278,MAC000018,Std,1970-01-07 01:00:00,ACORN-E,Affluent,0.11900000000000001
279,MAC000018,Std,1970-01-07 01:30:00,ACORN-E,Affluent,0.11900000000000001
280,MAC000018,Std,1970-01-07 02:00:00,ACORN-E,Affluent,0.11900000000000001
281,MAC000018,Std,1970-01-07 02:30:00,ACORN-E,Affluent,0.11800000000000001
282,MAC000018,Std,1970-01-07 03:00:00,ACORN-E,Affluent,0.11699999999999999
283,MAC000018,Std,1970-01-07 03:30:00,ACORN-E,Affluent,0.163
284,MAC000018,Std,1970-01-07 04:00:00,ACORN-E,Affluent,0.293
285,MAC000018,Std,1970-01-07 04:30:00,ACORN-E,Affluent,0.278
286,MAC000018,Std,1970-01-07 05:00:00,ACORN-E,Affluent,0.225
287,MAC000018,Std,1970-01-07 05:30:00,ACORN-E,Affluent,0.225
288,MAC000018,Std,1970-01-07 06:00:00,ACORN-E,Affluent,0.345
289,MAC000018,Std,1970-01-07 06:30:00,ACORN-E,Affluent,0.243
290,MAC000018,Std,1970-01-07 07:00:00,ACORN-E,Affluent,0.371
291,MAC000018,Std,1970-01-07 07:30:00,ACORN-E,Affluent,0.33299999999999996
292,MAC000018,Std,1970-01-07 08:00:00,ACORN-E,Affluent,1.3090000000000002
293,MAC000018,Std,1970-01-07 08:30:00,ACORN-E,Affluent,0.894
294,MAC000018,Std,1970-01-07 09:00:00,ACORN-E,Affluent,0.209
295,MAC000018,Std,1970-01-07 09:30:00,ACORN-E,Affluent,0.195
296,MAC000018,Std,1970-01-07 10:00:00,ACORN-E,Affluent,0.193
297,MAC000018,Std,1970-01-07 10:30:00,ACORN-E,Affluent,0.261
298,MAC000018,Std,1970-01-07 11:00:00,ACORN-E,Affluent,0.21
299,MAC000018,Std,1970-01-07 11:30:00,ACORN-E,Affluent,0.158
300,MAC000018,Std,1970-01-07 12:00:00,ACORN-E,Affluent,0.17300000000000001
301,MAC000018,Std,1970-01-07 12:30:00,ACORN-E,Affluent,0.222
302,MAC000018,Std,1970-01-07 13:00:00,ACORN-E,Affluent,0.221
303,MAC000018,Std,1970-01-07 13:30:00,ACORN-E,Affluent,0.35
304,MAC000018,Std,1970-01-07 14:00:00,ACORN-E,Affluent,0.355
305,MAC000018,Std,1970-01-07 14:30:00,ACORN-E,Affluent,0.418
306,MAC000018,Std,1970-01-07 15:00:00,ACORN-E,Affluent,0.33399999999999996
307,MAC000018,Std,1970-01-07 15:30:00,ACORN-E,Affluent,0.21899999999999997
308,MAC000018,Std,1970-01-07 16:00:00,ACORN-E,Affluent,0.258
309,MAC000018,Std,1970-01-07 16:30:00,ACORN-E,Affluent,0.23199999999999998
310,MAC000018,Std,1970-01-07 17:00:00,ACORN-E,Affluent,0.223
311,MAC000018,Std,1970-01-07 17:30:00,ACORN-E,Affluent,0.371
312,MAC000018,Std,1970-01-07 18:00:00,ACORN-E,Affluent,0.254
313,MAC000018,Std,1970-01-07 18:30:00,ACORN-E,Affluent,0.226
314,MAC000018,Std,1970-01-07 19:00:00,ACORN-E,Affluent,0.11900000000000001
315,MAC000018,Std,1970-01-07 19:30:00,ACORN-E,Affluent,0.124
316,MAC000018,Std,1970-01-07 20:00:00,ACORN-E,Affluent,0.11900000000000001
317,MAC000018,Std,1970-01-07 20:30:00,ACORN-E,Affluent,0.11699999999999999
318,MAC000018,Std,1970-01-07 21:00:00,ACORN-E,Affluent,0.11599999999999999
319,MAC000018,Std,1970-01-07 21:30:00,ACORN-E,Affluent,0.11699999999999999
320,MAC000018,Std,1970-01-07 22:00:00,ACORN-E,Affluent,0.11800000000000001
321,MAC000018,Std,1970-01-07 22:30:00,ACORN-E,Affluent,0.11800000000000001
322,MAC000018,Std,1970-01-07 23:00:00,ACORN-E,Affluent,0.11699999999999999
323,MAC000018,Std,1970-01-07 23:30:00,ACORN-E,Affluent,0.11800000000000001
324,MAC000018,Std,1970-01-08 00:00:00,ACORN-E,Affluent,0.12
325,MAC000018,Std,1970-01-08 00:30:00,ACORN-E,Affluent,0.12300000000000001
326,MAC000018,Std,1970-01-08 01:00:00,ACORN-E,Affluent,0.122
327,MAC000018,Std,1970-01-08 01:30:00,ACORN-E,Affluent,0.121
328,MAC000018,Std,1970-01-08 02:00:00,ACORN-E,Affluent,0.11900000000000001
329,MAC000018,Std,1970-01-08 02:30:00,ACORN-E,Affluent,0.115
330,MAC000018,Std,1970-01-08 03:00:00,ACORN-E,Affluent,0.11599999999999999
331,MAC000018,Std,1970-01-08 03:30:00,ACORN-E,Affluent,0.146
332,MAC000018,Std,1970-01-08 04:00:00,ACORN-E,Affluent,0.11599999999999999
333,MAC000018,Std,1970-01-08 04:30:00,ACORN-E,Affluent,0.205
334,MAC000018,Std,1970-01-08 05:00:00,ACORN-E,Affluent,0.21899999999999997
335,MAC000018,Std,1970-01-08 05:30:00,ACORN-E,Affluent,0.218
336,MAC000018,Std,1970-01-08 06:00:00,ACORN-E,Affluent,0.321
